gj,guo,hua,word,ye
0.0,2.0,0.0,"果苞
",0.0
1.0,0.0,0.0,"木本植物
",0.0
0.0,2.0,0.0,"角果
",0.0
0.0,0.0,0.0,"中脉
",1.0
2.0,0.0,0.0,"小枝
",0.0
0.0,2.0,0.0,"果实
",0.0
0.0,2.0,0.0,"瘦果
",0.0
1.0,0.0,0.0,"藤本植物
",0.0
2.0,0.0,0.0,"老枝
",0.0
0.0,0.0,1.0,"中轴胎座
",0.0
0.0,0.0,1.0,基盘,0.0
0.0,0.0,0.0,"边缘
",1.0
0.0,0.0,0.0,深裂,1.0
1.0,0.0,0.0,"常绿灌木
",0.0
0.0,0.0,0.0,"叶缘
",2.0
0.0,0.0,0.5,"纸质
",0.5
0.0,0.0,1.0,"下位
",0.0
1.0,0.0,0.0,"树皮
",0.0
2.0,0.0,0.0,"平卧茎
",0.0
0.0,0.0,2.0,"雌雄异株
",0.0
1.0,0.0,0.0,"木质
",0.0
0.0,0.0,2.0,"两性花
",0.0
0.0,0.0,1.0,"中下部
",0.0
0.0,0.0,1.0,"柱头
",0.0
0.0,2.0,0.0,"蓇葖果
",0.0
1.0,0.0,0.0,"2年生草本
",0.0
1.0,0.0,0.0,"匍匐
",0.0
2.0,0.0,0.0,"缠绕茎
",0.0
0.0,0.0,2.0,"聚伞花序
",0.0
0.0,0.0,0.0,"两面
",1.0
1.0,0.0,0.0,"节间
",0.0
0.0,2.0,0.0,"聚合果
",0.0
1.0,0.0,0.0,"分枝
",0.5
1.0,0.0,0.0,"小乔木
",0.0
1.0,0.0,0.0,"一年生
",0.0
0.0,0.0,2.0,"花丝
",0.0
0.0,0.0,0.0,"全缘
",1.0
0.0,0.0,2.0,"花萼
",0.0
0.0,2.0,0.0,"肉质果
",0.0
0.0,0.0,0.0,"楔形
",1.0
0.0,0.0,0.0,"下面
",1.0
2.0,0.0,0.0,"直根系
",0.0
0.0,0.0,0.5,"基部
",0.5
0.0,0.0,0.0,"刺尖
",1.0
1.0,0.0,0.0,"三年生
",0.0
